Place,Phone,Website,Address,City,ZIP,LAT,LON,Type
Karma Vista,,,6991 Ryno Road,Coloma,49038,42.178957,-86.295437,2
Spotted Dog Winery,,,1100 Woodland Drive E,Saline,48176,42.188326,-83.764526,2
Arclight Brewing Company,(269) 332-0718,www.arclightbrewing.com,"544 N. Main Street Watervliet, MI 49098",Watervliet, 49098,42.191048,-86.259392,1
Presidential Brewing Co.,(269) 468-9765,`,"8302 Portage Road Portage , MI 49002",Portage , 49002,42.196525,-85.560831,1
Bella Vino Winery,,,340 Eureka Road,Wayne,48192,42.200019,-83.153758,2
Texas Corners Brewing Company,(269) 870-7724,texascornersbrewingcompany.com,"6970 Texas Drive Texas Township , MI 49009",Texas Township , 49009,42.202415,-85.686147,1
Latitude 42 Brewing Company-Portage,(269) 459-4242,Latitude42brewingco.com,"7842 Portage Road Portage, MI 49106",Portage, 49106,42.20251,-85.560573,1
Latitude 42 Brewing Company,,,7842 Portage Road,Portage,49002,42.20251,-85.560573,2
Warner Vineyards,,,706 South Kalamazoo Street,Paw Paw,49079,42.211856,-85.891492,2
Paw Paw B.C. with General Store,(269) 415-0145,pawpawbrewing.com,"780 South Gremps Street Paw Paw, MI 49079",Paw Paw, 49079,42.213139,-85.894374,1
St. Julian Winery ,,http://www.stjulian.com/,, Paw Paw,,42.217817,-85.891125,4
Peterson and Sons Winery,,,9375 East P Avenue,Kalamazoo,49048,42.217824,-85.444202,2
Ironbark Brewing Company,(517) 784-7988,`,"2610 Kibby Road Jackson, MI 49203",Jackson, 49203,42.218598,-84.437743,1
"Artisan Reserve, Inc.",(734) 992-8331,www.arbrew.com,"36542 Goddard Road Romulus, MI 48174",Romulus, 48174,42.222039,-83.396743,1
Warner Vineyards,(269) 657-3165,www.warnerwines.com,"706 S Kalamazoo Paw Paw, MI 49079",Paw Paw, 49079,42.225594,-85.888842,1
Edelbrau Brewing Company,(734) 926-5351,`,"719 W Ellsworth St., Ste. 2, Ann Arbor, MI 48108",Ann Arbor, 48108,42.228996,-83.750005,1
BraVo! Restaurant and Café,(269) 344-7700,bravokalamazoo.com,"5402 Portage Road Portage, MI 49002",Portage, 49002,42.238929,-85.560231,1
"Unity Vibration Living Kombucha Tea, LLC",(734) 277-4063,unityvibrationkombucha.com,"93 Ecorse Road Ypsilanti, MI 48198",Ypsilanti, 48198,42.239759,-83.597202,1
Unity Vibration,,,93 Ecorse Road,Ypsilanti,48198,42.239759,-83.597202,2
Albion Malleable Brewing Company,(517) 343-2202,https://www.albionmalleable.com/,"420 South Superior Street Albion, MI 49224",Albion, 49224,42.242319,-84.753276,1
Ypsi Alehouse,(734) 477-1555,www.ypsialehouse.com,"124 Pearl Street Ypsilanti , MI 48197",Ypsilanti , 48197,42.242359,-83.614411,1
Cherry Creek Cellars ,,http://www.cherrycreekwine.com/,, Albion,,42.243097,-84.75303,4
Pointless Brewery & Theater,(734) 707-8879,www.pointlessbrew.com,"3014 Packard Road Ann Arbor, MI 48108",Ann Arbor, 48108,42.244629,-83.699476,1
734 Brewing Company,(734) 340-3468,www.734brewing.com/home,"15 East Cross Street  Ypsilanti, MI 48198",Ypsilanti, 48198,42.24612,-83.610757,1
One Well Brewing,(269) 459-9240,onewellbrewing.com,"4213 Portage Street Kalamazoo, MI 49001",Kalamazoo, 49001,42.248592,-85.559175,1
Grand River Brewery,(517) 937-4272,grandrivermarketplace.com,"117 West Louis Glick Hwy. Jackson, MI 49201",Jackson, 49201,42.249366,-84.406674,1
Arbor Brewing Company Microbrewery,(734) 480-2739,arborbrewing.com,"720 Norris Street Ypsilanti, MI 48198",Ypsilanti, 48198,42.249655,-83.61021,1
Pileated Brewing Company,(734) 369-6290,www.pileatedbrewing.com,"2290 S. Industrial Hwy Ann Arbor, MI",Ann Arbor, ,42.253053,-83.734465,1
Biercamp Artisan Sausage & Jerky,(734) 995-2437,bier-camp.com,"1643 South State Street Ann Arbor, MI 48104",Ann Arbor, 48104,42.258679,-83.740111,1
Sleeping Bear Winery,,,2110 N Concord Road,Albion,49224,42.258884,-84.649114,2
Dark Horse Brewing Company,,,511 S Kalamazoo Avenue,Marshall,49068,42.266704,-84.963978,2
Dark Horse Brewing Co.,(616) 781-9940,darkhorsebrewery.com,"511 S. Kalamazoo St. Marshall, MI 49068",Marshall, 49068,42.266709,-84.964015,1
"American Brewers, Inc.",(269) 217-1920,americanbrewers.us,"3408 Miller Rd, Suite 309 Kalamazoo, MI 49001",Kalamazoo, 49001,42.26672,-85.537819,1
Cherry Creek Cellars,,,2199 North Concord Road,Albion,49224,42.269047,-84.649148,2
Wolverine State Brewing Company,(734) 277-7226,wolverinebeer.com,"2019 W Stadium Blvd Ann Arbor, MI 48103",Ann Arbor, 48103,42.269432,-83.774547,1
Bilbo’s Pizza,(269) 382-5544,bilbospizza.com,"3307 Stadium Drive Kalamazoo, MI 49008",Kalamazoo, 49008,42.271602,-85.631225,1
Grand River Brewery-Marshall,(269) 727-9311,`,"101 W Michigan Ave Marshall, MI 49068",Marshall, 49068,42.271952,-84.961049,1
Townies Brewery (Glasshouse Brewing),(734) 637-5421,https://www.facebook.com/towniesA2brewing/,"2350 W. Liberty St Ann Arbor, MI 48103",Ann Arbor, 48103,42.272958,-83.782359,1
Jolly Pumpkin Cafe & Brewery,,,311 S Main Street,Ann Arbor,48104,42.27916,-83.748455,2
Brite Eyes Brewing Co.,(269) 220-5001,briteeyesbrewingco.com,"1156 South Burdick St Kalamazoo, MI 49001",Kalamazoo, 49001,42.279773,-85.582846,1
HOMES Brewery,(734) 954-6637,www.homesbrewery.com,"2321 Jackson Ann Arbor, MI 48103",Ann Arbor, 48103,42.280326,-83.778452,1
Arbor Brewing Company-Ann Arbor,(734) 213-1393,www.arborbrewing.com,"114 E. Washington St. Ann Arbor, MI 48104",Ann Arbor, 48104,42.280374,-83.747811,1
Blue Tractor BBQ & Brewery,(734) 222-4095,bluetractor.net,"207 East Washington Street Ann Arbor, MI 48104",Ann Arbor, 48104,42.280546,-83.746934,1
Grizzly Peak Brewing Company,(734) 741-9325,grizzlypeak.net,"120 W. Washington Ann Arbor, MI 48104",Ann Arbor, 48104,42.280587,-83.748703,1
DeAngelis Cantina del Vino,,,7879 Jackson Road,Ann Arbor,48103,42.284964,-83.800479,2
127 Brewing,(517) 258-1346,https://www.facebook.com/127brewing/,"3090 Shirley Drive Jackson, MI 49201",Jackson, 49201,42.285751,-84.431008,1
Tootsie's Brewery,(517) 522-8167,loneoakvineyards.com,"8400 Ann Arbor RoadGrass Lake, MI 49240",Grass Lake, 49240,42.286072,-84.263759,1
Bell's Brewery,,,8938 Krum Ave.,Galesburg,49053,42.287388,-85.456735,2
Lone Oak Vineyard Estates,,,8400 Ann Arbor Road,Grass Lake,49240,42.287869,-84.263971,2
Tibbs Brewing Company,(877) 762-7397,tibbsbrewing.com,"402 South Burdick Street Kalamazoo, MI 49007",Kalamazoo, 49007,42.288599,-85.583208,1
418 Restaurant,(269) 548-3200,www.kvcc.edu/dining,"418 E. Walnut St., Kalamazoo, MI 49007",Kalamazoo, 49007,42.289047,-85.564109,1
Olde Peninsula Brewpub & Restaurant,(616) 343-2739,www.oldepenkazoo.com,"200 E. Michigan Ave. Kalamazoo, MI 49007",Kalamazoo, 49007,42.291648,-85.581578,1
Husted’s Farm Market ,,http://www.hustedfarmmarket.com/,, Kalamazoo,,42.291707,-85.587229,4
Texas Corners Brewing Company ,,http://www.texascornersbrewingcompany.com/,, Kalamazoo,,42.291707,-85.587229,4
The Merry,,https://www.facebook.com/The-Merry-Hearted-Cidery-1103380713102836/,, Kalamazoo,,42.291707,-85.587229,4
Saugatuck B.C.-Kalamazoo,(269) 382-2739,gonzosbiggdoggbrewing.com,"140 S. Westnedge Kalamazoo, MI 49007",Kalamazoo, 49007,42.291962,-85.589645,1
Final Gravity B.C.-Kalamazoo,(269) 350-5136,www.finalgravitybrew.com,"246 North Burdick Streeet Kalamazoo , MI 49007",Kalamazoo , 49007,42.293179,-85.583191,1
Bell's Brewery Inc. (Kalamazoo B.C.)-Eccentric Cafe-Pub,(269) 382-2338,bellsbeer.com,"355 East Kalamazoo Ave Kalamazoo, MI 49007",Kalamazoo, 49007,42.294916,-85.578873,1
Arcadia Brewing Company Kalamazoo,,,701 E Michigan Avenue,Kalamazoo,49007,42.295079,-85.571537,2
Latitude 42 Brewing Company -Oshtemo,(269) 775-7242,latitude42brewingco.com,"6075 West Main Street,  Kalamazoo, MI 49009",Kalamazoo, 49009,42.295758,-85.669288,1
Jolly Pumpkin Cafe & Brewery-Ann Arbor,(734) 913-2730,jollypumpkin.com,"311 Main Street Ann Arbor, MI 48104",Ann Arbor, 48104,42.30098,-83.697523,1
Sandhill Crane Vineyards,,,4724 Walz Road,Jackson,49201,42.301963,-84.294607,2
Dearborn Brewing,(313) 914-4187,wwww.dearbornbrewing.com,"21930 Michigan Ave Dearborn, MI 48124",Dearborn, 48124,42.306644,-83.243383,1
Chelsea Alehouse Brewery,(734) 475-2337,www.chelseaalehouse.com,"115 South Main Street Chelsea, MI 48118",Chelsea, 48118,42.306857,-84.021113,1
Cognito Brewing,(971) 808-8863,cognitobrewingcompany.com,"142 W Monroe Street Bangor, MI 49013",Bangor, 49013,42.31309,-86.11155,1
"Great Mead hall & Brewing Company, Bangor",,www.greatmeadhall.net,215 W. Monroe,Bangor,49013,42.313457,-86.112525,3
Wax Wings Brewing Company,(269) 459-9494,waxwingsbrewing.com,"3480 Gull Road Kalamazoo, MI 49048",Kalamazoo, 49048,42.315697,-85.538023,1
Downey B.C.-Production & Taproom.,(313) 288-8442,www.downeybrewingcompany.com,"13121 Prospect Dearborn, MI 48126",Dearborn, 48126,42.316446,-83.170974,1
"Jolly Pumpkin Artisan Ales-Production facility and NL Taproom, Dexter",(734) 426-4962,jollypumpkin.com,"2319 Bishop Circle East Dexter, MI 48130",Dexter, 48130,42.323718,-83.878322,1
North Peak Brewing Company,,,2319 Bishop Circle E,Dexter,48130,42.323718,-83.878322,2
Territorial Brewing Company,(269) 282-1694,www.territorialbrewing.com,"1600 Avenue A Springfield, MI 49037",Springfield, 49037,42.325652,-85.258393,1
The Longboard (by Jolly Pumpkin),(313) 914-4510,longboardjp.com,"21931 Michigan Ave, Ste 100 Dearborn, MI 48241",Dearborn, 48241,42.326152,-83.162223,1
Brew Detroit,(313) 974-7366,brewdetroit.com,"1401 Abbott Street Detroit, MI 48216",Detroit, 48216,42.327719,-83.061172,1
Batch Brewing Company,(313) 338-8008,batchbrewingcompany.com,"1400 Porter Street Detroit, MI 48216",Detroit, 48216,42.32849,-83.063319,1
Granite City Food & Brewery-Detroit,(313) 309-9120,`,"100 Renaissance Center Detroit, MI 48243",Detroit, 48243,42.328811,-83.040118,1
Two James Spirits,,,2445 Michigan Avenue,Detroit,48216,42.331149,-83.079473,2
Motor City Brewing Works ,,http://www.motorcitybeer.com/,, Detroit,,42.331551,-83.04664,4
Detroit Beer Co.,(313) 962-1529,detroitbeerco.com,"1529 Broadway Detroit, MI 48226",Detroit, 48226,42.335942,-83.048534,1
Atwater Biergarden & Taproom-Detroit,(313) 877-9205,atwaterbeer.com,"237 Joseph Campau Detroit, MI 48207",Detroit, 48207,42.337292,-83.018489,1
Atwater Brewery,,,237 Joseph Campau Street,Detroit,48207,42.337292,-83.018489,2
Detroit Vineyards,,,1000 Gratiot,Detroit,48207,42.340477,-83.041092,2
"Founders B.C. Detroit (reopened Feb. 6, 2020)",(313) 335-3440,`,"456 Charlotte Street Detroit, MI 48201",Detroit, 48201,42.342996,-83.060573,1
Eastern Market Brewing Company,(313) 502-5165,easternmarket.beer,"2515 Riopelle Detroit, MI 48207",Detroit, 48207,42.346625,-83.038762,1
Brewery Faisan,(313) 290-2987,www.breweryfaisan.com,"1087 Beaufait Street Detroit, MI 48207",Detroit, 48207,42.348413,-83.010352,1
Canton Brew Works,(734) 927-7081,www.cantonbrewworks.com,"8521 N. Lilley Road Canton, MI 48187",Canton, 48187,42.348836,-83.460378,1
Motor City Brewing Works,(313) 832-2700,www.motorcitybeer.com,"470 W. Canfield  Detroit, MI 48201",Detroit, 48201,42.351586,-83.064864,1
Jolly Pumpkin Pizzeria & Brewery-Detroit,(313) 262-6115,www.jollypumpkin.com,"441 W. Canfield #9 Detroit , MI 48201",Detroit , 48201,42.352706,-83.061462,1
Supernatural Brewery and Spirits,(734) 469-2251,www.supernaturalbrewing.com,"36685 Plymouth Road Livonia, MI 48150",Livonia, 48150,42.367343,-83.40614,1
Blue Skies Brewery -Jackson,(517) 569-2132,www.chateauaeronautiquewinery.com,"1849 Rives-Eaton Rd Jackson, MI 49201",Jackson, 49201,42.369059,-84.431585,1
Chateau Aeronautique Winery,,,1849 Rives-Eaton Road,Jackson,49201,42.369059,-84.431585,2
Arbor Brewing Company Brewpub Plymouth,(734) 233-6201,arborbrewing.com,"777 West Ann Arbor Trail Plymouth, MI 48170",Plymouth, 48170,42.369566,-83.468968,1
Liberty Street Brewing Company,(734) 207-9600,LibertyStreetBrewingCompany.com,"149 West Liberty Street Plymouth, MI 48170",Plymouth, 48170,42.379264,-83.461347,1
Atwater in the Park,(313) 344-5104,atwaterinthepark.com,"1175 Lakepointe Grosse Pointe Park, MI 48230",Grosse Pointe Park, 48230,42.38155,-82.939574,1
Mcintosh Cellars ,,http://www.mcintoshorchards.com/,, South Haven,,42.403087,-86.273641,4
Three Blondes Brewing,(269) 872-3911,www.threeblondesbrewing.com,"1875 Phoenix Street South Haven, MI 49090",South Haven, 49090,42.403318,-86.264239,1
South Haven BrewPub,(269) 767-7105,southhavenbrewpub.com,"515 Williams Street South Haven, MI 49090",South Haven, 49090,42.404922,-86.273618,1
The Depot,,,555 Dyckman Avenue,South Haven,49090,42.406402,-86.271875,2
Lucky Girl Brewing Company,(269) 628-0054,luckygirlbrewing.com,"34016 M-43 Paw Paw, MI 49079",Paw Paw, 49079,42.411597,-85.451184,1
Brewery at Schoolcraft (College),(734) 462-4400,`,"18600 Haggerty Road Livonia, MI 48152",Livonia, 48152,42.419317,-83.428685,1
Granite City Food & Brewery-Northville,(248) 662-3400,`,"39603 Traditions Drive Northville, MI 48168",Northville, 48168,42.422097,-83.433639,1
Northville Winery and Brewing Company ,,http://www.thenorthvillewinery.com/,, Northville,,42.431081,-83.483226,4
North Center Brewing Company,(248) 470-5700,northcenterbrewing.com,"410 N. Center Street Northville, MI 48167",Northville, 48167,42.434319,-83.483109,1
Northville Brewing Company,(248) 320-6507,www.thenorthvillewinery.com,"630 Old Baseline Road Northville, MI 48167",Northville, 48167,42.437338,-83.48617,1
Old Mill Brewpub & Grill,(269) 204-6601,www.oldmillbrew.com,"717 E. Bridge Street Plainwell, MI 49080",Plainwell, 49080,42.442939,-85.63226,1
Boss Cider Company,(517) 878-6044,www.bosscider.com,"139 S Main St., Leslie, MI 49251",Leslie, 49251,42.449571,-84.431925,1
Witch's Hat B.C.,(248) 486-2595,www.witchshatbrewing.com,"601 South Lafayette Street South Lyon , MI 48178",South Lyon , 48178,42.454591,-83.650356,1
Jamex Brewing Company,(586) 944-2030,www.jamexbrewing.com,"21721 Harper Avenue St. Clair Shores, MI 48080",St. Clair Shores, 48080,42.455934,-82.912414,1
B. Nektar meadery,,,1505 Jarvis Suite B  ,Ferndale,48220,42.456842,-83.113941,2
B. Nektar Meadery,(313) 744-6323,www.bnektar.com,"1511 Jarvis Ferndale, MI 49220",Ferndale, 49220,42.45699,-83.113582,1
"B. Nektar Meadery, Ferndale    ",,www.bnektar.com,1511 Jarvis St,Ferndale,48220,42.45699,-83.113582,3
Third Monk Brewing Company,(248) 278-6366,http://www.thirdmonkbrewingco.com/,"228 South Lafayette South Lyon, MI 48178",South Lyon, 48178,42.458154,-83.651378,1
Woodward Avenue Brewers,(248) 546-3696,thewabsite.com,"22646 Woodward Ave Ferndale, MI 48220",Ferndale, 48220,42.459601,-83.13343,1
Schramm's meadery,,,327 W. 9 Mile Road,Ferndale,48220,42.460254,-83.138646,2
Schramm's Mead-Ferndale,,www.SchrammsMead.com,327 W. 9 Mile Road Ferndale,Ferndale,48220,42.460254,-83.138646,3
Liquid Note Brewing,(269) 207-6844,`,"119 East Allegan Street Otsego, MI 49078",Otsego, 49078,42.460393,-85.695726,1
B. Nektar Meadery ,,http://www.bnektar.com/,, Ferndale,,42.460592,-83.134648,4
Valentine Distilling,,,161 Vester Ave,Ferndale,48220,42.461612,-83.133994,2
Brook’s Brewing -Ferndale,(586) 884-4741,www.bbrewing.com,"22925 Woodward Ave Ferndale, MI 48220",Ferndale, 48220,42.461816,-83.135781,1
Cellarmen’s ,,http://cellarmens.com/,, Hazel Park,,42.462014,-83.103569,4
Farmington Brewing Company,(248) 957-9543,www.FBCbrewing.com,"33336 Grand River Avenue Farmington, MI 48336",Farmington, 48336,42.464954,-83.376037,1
Copper Hop Brewing Company,(586) 204-7752,www.TheCopperHop.com,"23401 Greater Mack Ave St. Clair Shores, MI 48080",St. Clair Shores, 48080,42.465856,-82.898053,1
Urbanrest Brewing Company,(586) 945-5121,www.urbanrest.com,"2615 Wolcott Ferndale, MI 48220",Ferndale, 48220,42.467993,-83.127419,1
Mcintosh Cider,(269) 637-7922,www.mcintoshorchards.com,"6431 107th Ave South Haven, MI 49090",South Haven, 49090,42.469424,-86.16999,1
McIntosh Apple Orchards,,,6431 107th Avenue,South Haven,49090,42.469424,-86.16999,2
Cellarmen's-Hazel Park,,www.cellarmens.com,24310 John R Rd,Hazel Park,48030,42.470768,-83.104294,3
Dragon’s Landing,(586) 218-8090,www.dragonmead.com,"24409 Jefferson Avenue St. Clair Shores, MI 48080",St. Clair Shores, 48080,42.471222,-82.888779,1
Red Hat Micro-Winery,,,24601 Jefferson Avenue,St Clair Shores,48080,42.473331,-82.889264,2
Baffin Brewing Company,(586) 218-7990 ,www.baffinbrewing.com/,"25113 Jefferson Ave. St. Clair Shores, MI 48081",St. Clair Shores, 48081,42.477697,-82.889413,1
Ascension Brewing Company,(248) 308-2093,www.ascension.beer,"42000 Grand River Avenue Novi, MI 48375",Novi, 48375,42.478327,-83.460978,1
ROAK Brewing Company,(248) 268-8780,www.roakbrewing.com,"330 East Lincoln Street Royal Oak, MI 48067",Royal Oak, 48067,42.483418,-83.142056,1
Lily’s Seafood Rest. & Brewery,(248) 591-5459,lilyseafood.com,"410 S. Washington Royal Oak, MI 48067",Royal Oak, 48067,42.487138,-83.146653,1
River Rouge Brewing Company,(248) 802-0555,www.riverrougebrew.com,"406 East 4th Street Royal Oak, MI 48067",Royal Oak, 48067,42.487229,-83.140206,1
Royal Oak Brewery,(248) 544-1141,royaloakbrewery.com,"215 E. Fourth St. Royal Oak, MI 48067",Royal Oak, 48067,42.487386,-83.142872,1
Royal Oak Winery,,,325 East Fourth Street,Royal Oak,48067,42.487415,-83.141655,2
Dragonmead Microbrewery,,www.dragonmead.com,14600 E. 11 Mile Rd,Warren,48089,42.492825,-82.975259,3
Dragonmead Microbrewery,(586) 776-9428,dragonmead.com,"14600 E. Eleven Mile Rd.  Warren, MI 48089",Warren, 48089,42.493111,-82.974373,1
Kuhnhenn Brewing Co. ,,http://www.kbrewery.com/,, Warren,,42.493257,-83.006275,4
Cadillac Straits Brewing Company & Homebrew Supplies,(248) 850-7673,cadillacstraits.com,"27651 John R. Rd. Madison Hts. , MI 48071",Madison Hts. , 48071,42.495183,-83.105562,1
Tujax Tavern,(269) 623-8310,www. .com,"103 South Grove Street Delton, MI 49046",Delton, 49046,42.496258,-85.407991,1
Draught Horse Brewery,(248) 617-3000,www.draughthorsebrewery.com,"57721 Grand River Ave Lyon Township, MI 48165",Lyon Township, 48165,42.513427,-83.623884,1
Brewery Vivant,,,925 Cherry Street,Grand Rapids,49506,42.514752,-84.658783,2
